model,window_duration,overlap_ratio,num_windows,total_separation_time,average_window_time,std_window_time,sdr,sir,sar
resepformer-wsj02mix,1.0,0.0,8,2.8811094760894775,0.3601386845111847,0.057263239452588224,4.159733522370365,12.341230470011794,5.363002825304806
resepformer-wsj02mix,1.0,0.2,10,4.071395635604858,0.40713956356048586,0.06787887233221139,1.327137848308833,8.115662530965814,3.068578588345023
resepformer-wsj02mix,1.0,0.4,12,5.077003717422485,0.42308364311854046,0.0996552621571728,-0.3785586205163459,4.2473929818657705,3.0964342834990486
resepformer-wsj02mix,1.0,0.6000000000000001,18,8.163512229919434,0.4535284572177463,0.10599657955132386,1.5497358097731875,5.178493650733065,5.941110611506208
resepformer-wsj02mix,1.5,0.0,6,2.6466381549835205,0.4411063591639201,0.14624190702883844,2.397236455845526,10.878182789307164,3.438749254385107
resepformer-wsj02mix,1.5,0.2,7,3.301872968673706,0.471696138381958,0.09230959557271155,0.6072269499191127,6.67647766707592,2.912309527907348
resepformer-wsj02mix,1.5,0.4,8,4.206792116165161,0.5258490145206451,0.07745452846374382,1.6777541913240666,9.174410780294776,3.514652465263619
resepformer-wsj02mix,1.5,0.6000000000000001,12,5.88889479637146,0.490741233030955,0.06266865569244721,0.0426167634632616,3.954488971230262,3.839891935710091
resepformer-wsj02mix,2.0,0.0,4,2.6540451049804688,0.6635112762451172,0.10931845388914739,2.717947203724747,10.911720249521771,3.8182992796887874
resepformer-wsj02mix,2.0,0.2,5,4.836718320846558,0.9673436641693115,0.23172211326430608,-0.811051669330201,5.563769365196598,1.754084578999357
resepformer-wsj02mix,2.0,0.4,6,5.981278419494629,0.9968797365824381,0.12604852217724177,2.90470149132501,9.273512283778686,4.948675632059658
resepformer-wsj02mix,2.0,0.6000000000000001,8,5.691503524780273,0.7114379405975342,0.12574290544138858,4.509024179158813,11.687709753522059,6.423249453830527
resepformer-wsj02mix,2.5,0.0,4,2.5727968215942383,0.6431992053985596,0.3171497717645104,10.480109803094685,25.8156624266471,10.622278114119958
resepformer-wsj02mix,2.5,0.2,4,2.765655279159546,0.6914138197898865,0.18012512526552693,14.396853301084084,27.441654542307802,14.670056680310445
resepformer-wsj02mix,2.5,0.4,5,3.8008217811584473,0.7601643562316894,0.16964322011539737,14.30163778005894,28.577304907152012,14.48818883169032
resepformer-wsj02mix,2.5,0.6000000000000001,7,5.046017408370972,0.7208596297672817,0.11996050396197185,15.163926841309753,28.91942014421437,15.429754876875805
